CatID	RA_06	DEC_06	round(B_06,8)	round(B_06_ERR,8)	round(V_06,8)	round(V_06_ERR,8)	round(R_06,8)	round(R_06_ERR,8)	round(I_MAG_AUTO_06,8)	AUTO_FLAG_06	round(I_06_ERR,8)	round(I_CFHT_06_ERR,8)	round(Z_06,8)	round(Z_06_ERR,8)	Z_BEST	round(RH,8)	round(LOGMASS_06,8)	Z_USE
6323883.00000000	150.37864685	2.61520696	23.97369957	0.04490000	23.88400078	0.03880000	23.46960068	0.02990000	22.65970039	1.00000000	0.02510000	0.16560000	22.30850029	0.02270000	0.00500000	6.32208014	10.91800022	4.00000000
6324436.00000000	150.29206848	2.59981298	19.89369965	0.00650000	19.60040092	0.00480000	19.61549950	0.00490000	19.26460075	2.00000000	-999.98999023	0.00770000	19.30669975	0.00430000	0.00500000	3.05058098	8.00000000	4.00000000
6325834.00000000	150.30220032	2.54928803	23.37260056	0.03330000	23.41370010	0.03000000	23.20960045	0.02860000	21.77860069	1.00000000	0.02210000	0.13400000	22.52300072	0.02960000	0.00500000	21.17120361	11.21899986	4.00000000
6328260.00000000	150.31707764	2.48356509	22.92720032	0.02640000	22.45369911	0.01820000	22.22620010	0.01620000	21.67189980	1.00000000	0.01390000	0.06180000	21.71929932	0.01510000	0.00500000	2.48367095	8.49499989	4.00000000
6328408.00000000	150.29248047	2.48207092	22.59560013	0.02260000	22.28870010	0.01670000	22.20380020	0.01610000	21.26469994	1.00000000	0.01270000	0.05740000	21.49570084	0.01360000	0.00500000	23.66489410	-999.98999023	4.00000000
6328795.00000000	150.31260681	2.46896696	22.18639946	0.01870000	21.68689919	0.01260000	21.52890015	0.01170000	20.86709976	2.00000000	-999.98999023	0.03030000	21.08130074	0.01100000	0.00500000	-999.99999999	8.69400024	4.00000000
6329112.00000000	150.31315613	2.62548900	21.88920021	0.01620000	21.47859955	0.01130000	21.40730095	0.01100000	21.20269966	2.00000000	-999.98999023	0.03290000	21.08390045	0.01070000	0.00500000	2.52665305	8.74899960	4.00000000
6329799.00000000	150.19636536	2.60789394	23.26049995	0.03140000	22.66679955	0.02030000	22.40589905	0.01770000	21.88920021	1.00000000	0.01520000	0.05040000	21.89879990	0.01740000	0.00500000	2.55943990	7.78800011	4.00000000
6330523.00000000	150.16325378	2.58997297	22.43600082	0.02090000	22.00580025	0.01460000	21.86630058	0.01370000	21.57069969	2.00000000	-999.98999023	0.03360000	21.55120087	0.01440000	0.00500000	2.74706697	11.74600029	4.00000000
6331029.00000000	150.13873291	2.56998110	21.48200035	0.01340000	21.32209969	0.01050000	21.30419922	0.01050000	21.06389999	2.00000000	-999.98999023	0.02360000	21.14609909	0.01100000	0.00500000	2.58501911	8.51900005	4.00000000
6331944.00000000	150.21563721	2.55349207	21.97750092	0.01690000	21.61260033	0.01210000	21.50020027	0.01160000	20.88129997	2.00000000	-999.98999023	0.02850000	21.14060020	0.01100000	0.00500000	2.61463690	8.53199959	4.00000000
6333103.00000000	150.15002441	2.51046896	21.81649971	0.01560000	21.38719940	0.01080000	21.26210022	0.01030000	20.98049927	2.00000000	-999.98999023	0.02010000	20.87789917	0.00950000	0.00500000	2.59322500	8.65900040	4.00000000
6333533.00000000	150.20263672	2.49478197	20.76720047	0.00960000	20.55279922	0.00740000	20.55559921	0.00740000	20.31590080	2.00000000	-999.98999023	0.01220000	20.33270073	0.00730000	0.00500000	2.41612411	8.59000015	4.00000000
